Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Women;Americas;Mexico;Football;18;8
Women;Americas;Argentina;Football;NA;NA
Women;Americas;Colombia;Football;17;4
Women;Americas;Chile;Football;14;5
Women;Americas;Peru;Football;14;3
Women;Americas;Puerto Rico;Football;NA;NA
Women;Americas;Ecuador;Football;NA;NA
Women;Asia;China;Football;10;3
Women;Asia;Japan;Football;11;6
Women;Asia;India;Football;16;0
Women;Asia;Iran, Islamic Republic of;Football;NA;NA
Women;Asia;Korea, Republic of;Football;NA;NA
Women;Asia;Indonesia;Football;NA;NA
Women;Asia;Saudi Arabia;Football;NA;NA
Women;Asia;Turkey;Football;19;4
Women;Asia;Thailand;Football;NA;NA
Women;Asia;Israel;Football;NA;NA
Women;Europe;Germany;Football;12;6
Women;Europe;United Kingdom;Football;12;6
Women;Europe;France;Football;NA;NA
Women;Europe;Russian Federation;Football;12;2
Women;Europe;Italy;Football;10;2
Women;Europe;Spain;Football;16;4
Women;Europe;Netherlands;Football;11;3
Women;Europe;Switzerland;Football;NA;NA
Women;Europe;Poland;Football;NA;NA
Women;Europe;Sweden;Football;14;2
Women;Oceania;Australia;Football;NA;NA
Women;Oceania;New Zealand;Football;NA;NA
Women;Oceania;Papua New Guinea;Football;NA;NA
Women;Oceania;New Caledonia;Football;NA;NA
Women;Oceania;Guam;Football;NA;NA
Women;Oceania;French Polynesia;Football;NA;NA
Women;Oceania;Fiji;Football;NA;NA
Women;Oceania;Solomon Island;Football;NA;NA
Women;Oceania;Northern Mariana Islands;Football;NA;NA
Women;Oceania;Vanuatu;Football;NA;NA
Women;Africa;Nigeria;Basketball;NA;NA
Women;Africa;Egypt;Basketball;NA;NA
Women;Africa;South Africa;Basketball;NA;NA
Women;Africa;Algeria;Basketball;NA;NA
Women;Africa;Morocco;Basketball;NA;NA
Women;Africa;Angola;Basketball;NA;NA
Women;Africa;Kenya;Basketball;NA;NA
Women;Africa;Ethiopia;Basketball;NA;NA
Women;Africa;Tanzania, United Republic of;Basketball;NA;NA
Women;Africa;Ghana;Basketball;NA;NA
Women;Americas;United States;Basketball;12;1
Women;Americas;Canada;Basketball;NA;NA
Women;Americas;Brazil;Basketball;NA;NA
Women;Americas;Mexico;Basketball;7;3
Women;Americas;Argentina;Basketball;12;2
Women;Americas;Colombia;Basketball;NA;NA
Women;Americas;Chile;Basketball;NA;NA
Women;Americas;Peru;Basketball;NA;NA
Women;Americas;Puerto Rico;Basketball;8;1
Women;Americas;Ecuador;Basketball;NA;NA
Women;Asia;China;Basketball;17;6
Women;Asia;Japan;Basketball;14;10
Women;Asia;India;Basketball;NA;NA
Women;Asia;Iran, Islamic Republic of;Basketball;NA;NA
Women;Asia;Korea, Republic of;Basketball;6;0
Women;Asia;Indonesia;Basketball;NA;NA
Women;Asia;Saudi Arabia;Basketball;NA;NA
Women;Asia;Turkey;Basketball;14;3
Women;Asia;Thailand;Basketball;NA;NA
Women;Asia;Israel;Basketball;10;2
Women;Europe;Germany;Basketball;11;6
Women;Europe;United Kingdom;Basketball;NA;NA
Women;Europe;France;Basketball;12;1
Women;Europe;Russian Federation;Basketball;12;3
Women;Europe;Italy;Basketball;NA;NA
Women;Europe;Spain;Basketball;NA;NA
Women;Europe;Netherlands;Basketball;NA;NA
Women;Europe;Switzerland;Basketball;6;0
Women;Europe;Poland;Basketball;11;4
Women;Europe;Sweden;Basketball;14;2
Women;Oceania;Australia;Basketball;8;1
Women;Oceania;New Zealand;Basketball;NA;NA
Women;Oceania;Papua New Guinea;Basketball;NA;NA
Women;Oceania;New Caledonia;Basketball;NA;NA
Women;Oceania;Guam;Basketball;NA;NA
Women;Oceania;French Polynesia;Basketball;NA;NA
Women;Oceania;Fiji;Basketball;NA;NA
Women;Oceania;Solomon Island;Basketball;NA;NA
Women;Oceania;Northern Mariana Islands;Basketball;NA;NA
Women;Oceania;Vanuatu;Basketball;NA;NA
Women;Africa;Nigeria;American Football;NA;NA
Women;Africa;Egypt;American Football;NA;NA
Women;Africa;South Africa;American Football;NA;NA
Women;Africa;Algeria;American Football;NA;NA
Women;Africa;Morocco;American Football;NA;NA
Women;Africa;Angola;American Football;NA;NA
Women;Africa;Kenya;American Football;NA;NA
Women;Africa;Ethiopia;American Football;NA;NA
Women;Africa;Tanzania, United Republic of;American Football;NA;NA
Women;Africa;Ghana;American Football;NA;NA
Women;Americas;United States;American Football;NA;NA
Women;Americas;Canada;American Football;NA;NA
Women;Americas;Brazil;American Football;NA;NA
Women;Americas;Mexico;American Football;NA;NA
Women;Americas;Argentina;American Football;NA;NA
Women;Americas;Colombia;American Football;NA;NA
Women;Americas;Chile;American Football;NA;NA
Women;Americas;Peru;American Football;NA;NA
Women;Americas;Puerto Rico;American Football;NA;NA
Women;Americas;Ecuador;American Football;NA;NA
Women;Asia;China;American Football;NA;NA
Women;Asia;Japan;American Football;NA;NA
Women;Asia;India;American Football;NA;NA
Women;Asia;Iran, Islamic Republic of;American Football;NA;NA
Women;Asia;Korea, Republic of;American Football;NA;NA
Women;Asia;Indonesia;American Football;NA;NA
Women;Asia;Saudi Arabia;American Football;NA;NA
Women;Asia;Turkey;American Football;NA;NA
Women;Asia;Thailand;American Football;NA;NA
Women;Asia;Israel;American Football;NA;NA
Women;Europe;Germany;American Football;NA;NA
Women;Europe;United Kingdom;American Football;NA;NA
Women;Europe;France;American Football;NA;NA
Women;Europe;Russian Federation;American Football;NA;NA
Women;Europe;Italy;American Football;NA;NA
Women;Europe;Spain;American Football;NA;NA
Women;Europe;Netherlands;American Football;NA;NA
Women;Europe;Switzerland;American Football;NA;NA
Women;Europe;Poland;American Football;NA;NA
Women;Europe;Sweden;American Football;NA;NA
Women;Oceania;Australia;American Football;NA;NA
Women;Oceania;New Zealand;American Football;NA;NA
Women;Oceania;Papua New Guinea;American Football;NA;NA
Women;Oceania;New Caledonia;American Football;NA;NA
Women;Oceania;Guam;American Football;NA;NA
Women;Oceania;French Polynesia;American Football;NA;NA
Women;Oceania;Fiji;American Football;NA;NA
Women;Oceania;Solomon Island;American Football;NA;NA
Women;Oceania;Northern Mariana Islands;American Football;NA;NA
Women;Oceania;Vanuatu;American Football;NA;NA
Women;Africa;Nigeria;Volleyball;NA;NA
Women;Africa;Egypt;Volleyball;NA;NA
Women;Africa;South Africa;Volleyball;NA;NA
Women;Africa;Algeria;Volleyball;NA;NA
Women;Africa;Morocco;Volleyball;NA;NA
Women;Africa;Angola;Volleyball;NA;NA
Women;Africa;Kenya;Volleyball;NA;NA
Women;Africa;Ethiopia;Volleyball;NA;NA
Women;Africa;Tanzania, United Republic of;Volleyball;NA;NA
Women;Africa;Ghana;Volleyball;NA;NA
Women;Americas;United States;Volleyball;NA;NA
Women;Americas;Canada;Volleyball;NA;NA
Women;Americas;Brazil;Volleyball;12;0
Women;Americas;Mexico;Volleyball;NA;NA
Women;Americas;Argentina;Volleyball;NA;NA
Women;Americas;Colombia;Volleyball;NA;NA
Women;Americas;Chile;Volleyball;NA;NA
Women;Americas;Peru;Volleyball;NA;NA
Women;Americas;Puerto Rico;Volleyball;7;3
Women;Americas;Ecuador;Volleyball;NA;NA
Women;Asia;China;Volleyball;14;1
Women;Asia;Japan;Volleyball;12;5
Women;Asia;India;Volleyball;NA;NA
Women;Asia;Iran, Islamic Republic of;Volleyball;8;3
Women;Asia;Korea, Republic of;Volleyball;7;1
Women;Asia;Indonesia;Volleyball;6;1
Women;Asia;Saudi Arabia;Volleyball;NA;NA
Women;Asia;Turkey;Volleyball;14;2
Women;Asia;Thailand;Volleyball;8;5
Women;Asia;Israel;Volleyball;NA;NA
Women;Europe;Germany;Volleyball;12;2
Women;Europe;United Kingdom;Volleyball;NA;NA
Women;Europe;France;Volleyball;14;2
Women;Europe;Russian Federation;Volleyball;14;2
Women;Europe;Italy;Volleyball;14;6
Women;Europe;Spain;Volleyball;NA;NA
Women;Europe;Netherlands;Volleyball;10;1
Women;Europe;Switzerland;Volleyball;NA;NA
Women;Europe;Poland;Volleyball;12;3
Women;Europe;Sweden;Volleyball;NA;NA
Women;Oceania;Australia;Volleyball;NA;NA
Women;Oceania;New Zealand;Volleyball;NA;NA
Women;Oceania;Papua New Guinea;Volleyball;NA;NA
Women;Oceania;New Caledonia;Volleyball;NA;NA
Women;Oceania;Guam;Volleyball;NA;NA
Women;Oceania;French Polynesia;Volleyball;NA;NA
Women;Oceania;Fiji;Volleyball;NA;NA
Women;Oceania;Solomon Island;Volleyball;NA;NA
Women;Oceania;Northern Mariana Islands;Volleyball;NA;NA
Women;Oceania;Vanuatu;Volleyball;NA;NA
Women;Africa;Nigeria;Baseball;NA;NA
Women;Africa;Egypt;Baseball;NA;NA
Women;Africa;South Africa;Baseball;NA;NA
Women;Africa;Algeria;Baseball;NA;NA
Women;Africa;Morocco;Baseball;NA;NA
Women;Africa;Angola;Baseball;NA;NA
Women;Africa;Kenya;Baseball;NA;NA
Women;Africa;Ethiopia;Baseball;NA;NA
Women;Africa;Tanzania, United Republic of;Baseball;NA;NA
Women;Africa;Ghana;Baseball;NA;NA
Women;Americas;United States;Baseball;NA;NA
Women;Americas;Canada;Baseball;NA;NA
Women;Americas;Brazil;Baseball;NA;NA
Women;Americas;Mexico;Baseball;NA;NA
Women;Americas;Argentina;Baseball;NA;NA
Women;Americas;Colombia;Baseball;NA;NA
Women;Americas;Chile;Baseball;NA;NA
Women;Americas;Peru;Baseball;NA;NA
Women;Americas;Puerto Rico;Baseball;NA;NA
Women;Americas;Ecuador;Baseball;NA;NA
Women;Asia;China;Baseball;NA;NA
Women;Asia;Japan;Baseball;NA;NA
Women;Asia;India;Baseball;NA;NA
Women;Asia;Iran, Islamic Republic of;Baseball;NA;NA
Women;Asia;Korea, Republic of;Baseball;NA;NA
Women;Asia;Indonesia;Baseball;NA;NA
Women;Asia;Saudi Arabia;Baseball;NA;NA
Women;Asia;Turkey;Baseball;NA;NA
Women;Asia;Thailand;Baseball;NA;NA
Women;Asia;Israel;Baseball;NA;NA
Women;Europe;Germany;Baseball;NA;NA
Women;Europe;United Kingdom;Baseball;NA;NA
Women;Europe;France;Baseball;NA;NA
Women;Europe;Russian Federation;Baseball;NA;NA
Women;Europe;Italy;Baseball;NA;NA
Women;Europe;Spain;Baseball;NA;NA
Women;Europe;Netherlands;Baseball;NA;NA
Women;Europe;Switzerland;Baseball;NA;NA
Women;Europe;Poland;Baseball;NA;NA
Women;Europe;Sweden;Baseball;NA;NA
Women;Oceania;Australia;Baseball;NA;NA
Women;Oceania;New Zealand;Baseball;NA;NA
Women;Oceania;Papua New Guinea;Baseball;NA;NA
Women;Oceania;New Caledonia;Baseball;NA;NA
Women;Oceania;Guam;Baseball;NA;NA
Women;Oceania;French Polynesia;Baseball;NA;NA
Women;Oceania;Fiji;Baseball;NA;NA
Women;Oceania;Solomon Island;Baseball;NA;NA
Women;Oceania;Northern Mariana Islands;Baseball;NA;NA
Women;Oceania;Vanuatu;Baseball;NA;NA
Women;Africa;Nigeria;Cricket;NA;NA
Women;Africa;Egypt;Cricket;NA;NA
Women;Africa;South Africa;Cricket;NA;NA
Women;Africa;Algeria;Cricket;NA;NA
Women;Africa;Morocco;Cricket;NA;NA
Women;Africa;Angola;Cricket;NA;NA
Women;Africa;Kenya;Cricket;NA;NA
Women;Africa;Ethiopia;Cricket;NA;NA
Women;Africa;Tanzania, United Republic of;Cricket;NA;NA
Women;Africa;Ghana;Cricket;NA;NA
Women;Americas;United States;Cricket;NA;NA
Women;Americas;Canada;Cricket;NA;NA
Women;Americas;Brazil;Cricket;NA;NA
Women;Americas;Mexico;Cricket;NA;NA
Women;Americas;Argentina;Cricket;NA;NA
Women;Americas;Colombia;Cricket;NA;NA
Women;Americas;Chile;Cricket;NA;NA
Women;Americas;Peru;Cricket;NA;NA
Women;Americas;Puerto Rico;Cricket;NA;NA
Women;Americas;Ecuador;Cricket;NA;NA
Women;Asia;China;Cricket;NA;NA
Women;Asia;Japan;Cricket;NA;NA
Women;Asia;India;Cricket;5;3
Women;Asia;Iran, Islamic Republic of;Cricket;NA;NA
Women;Asia;Korea, Republic of;Cricket;NA;NA
Women;Asia;Indonesia;Cricket;NA;NA
Women;Asia;Saudi Arabia;Cricket;NA;NA
Women;Asia;Turkey;Cricket;NA;NA
Women;Asia;Thailand;Cricket;NA;NA
Women;Asia;Israel;Cricket;NA;NA
Women;Europe;Germany;Cricket;NA;NA
Women;Europe;United Kingdom;Cricket;8;0
Women;Europe;France;Cricket;NA;NA
Women;Europe;Russian Federation;Cricket;NA;NA
Women;Europe;Italy;Cricket;NA;NA
Women;Europe;Spain;Cricket;NA;NA
Women;Europe;Netherlands;Cricket;NA;NA
Women;Europe;Switzerland;Cricket;NA;NA
Women;Europe;Poland;Cricket;NA;NA
Women;Europe;Sweden;Cricket;NA;NA
Women;Oceania;Australia;Cricket;8;0
Women;Oceania;New Zealand;Cricket;6;2
Women;Oceania;Papua New Guinea;Cricket;NA;NA
Women;Oceania;New Caledonia;Cricket;NA;NA
Women;Oceania;Guam;Cricket;NA;NA
Women;Oceania;French Polynesia;Cricket;NA;NA
Women;Oceania;Fiji;Cricket;NA;NA
Women;Oceania;Solomon Island;Cricket;NA;NA
Women;Oceania;Northern Mariana Islands;Cricket;NA;NA
Women;Oceania;Vanuatu;Cricket;NA;NA
Women;Africa;Nigeria;Rugby XV;NA;NA
Women;Africa;Egypt;Rugby XV;NA;NA
Women;Africa;South Africa;Rugby XV;NA;NA
Women;Africa;Algeria;Rugby XV;NA;NA
Women;Africa;Morocco;Rugby XV;NA;NA
Women;Africa;Angola;Rugby XV;NA;NA
Women;Africa;Kenya;Rugby XV;NA;NA
Women;Africa;Ethiopia;Rugby XV;NA;NA
Women;Africa;Tanzania, United Republic of;Rugby XV;NA;NA
Women;Africa;Ghana;Rugby XV;NA;NA
Women;Americas;United States;Rugby XV;NA;NA
Women;Americas;Canada;Rugby XV;NA;NA
Women;Americas;Brazil;Rugby XV;NA;NA
Women;Americas;Mexico;Rugby XV;NA;NA
Women;Americas;Argentina;Rugby XV;NA;NA
Women;Americas;Colombia;Rugby XV;NA;NA
Women;Americas;Chile;Rugby XV;NA;NA
Women;Americas;Peru;Rugby XV;NA;NA
Women;Americas;Puerto Rico;Rugby XV;NA;NA
Women;Americas;Ecuador;Rugby XV;NA;NA
Women;Asia;China;Rugby XV;NA;NA
Women;Asia;Japan;Rugby XV;NA;NA
Women;Asia;India;Rugby XV;NA;NA
Women;Asia;Iran, Islamic Republic of;Rugby XV;NA;NA
Women;Asia;Korea, Republic of;Rugby XV;NA;NA
Women;Asia;Indonesia;Rugby XV;NA;NA
Women;Asia;Saudi Arabia;Rugby XV;NA;NA
Women;Asia;Turkey;Rugby XV;NA;NA
Women;Asia;Thailand;Rugby XV;NA;NA
Women;Asia;Israel;Rugby XV;NA;NA
Women;Europe;Germany;Rugby XV;NA;NA
Women;Europe;United Kingdom;Rugby XV;NA;NA
Women;Europe;France;Rugby XV;NA;NA
Women;Europe;Russian Federation;Rugby XV;NA;NA
Women;Europe;Italy;Rugby XV;NA;NA
Women;Europe;Spain;Rugby XV;NA;NA
Women;Europe;Netherlands;Rugby XV;NA;NA
Women;Europe;Switzerland;Rugby XV;NA;NA
Women;Europe;Poland;Rugby XV;NA;NA
Women;Europe;Sweden;Rugby XV;NA;NA
Women;Oceania;Australia;Rugby XV;NA;NA
Women;Oceania;New Zealand;Rugby XV;4;0
Women;Oceania;Papua New Guinea;Rugby XV;NA;NA
Women;Oceania;New Caledonia;Rugby XV;NA;NA
Women;Oceania;Guam;Rugby XV;NA;NA
Women;Oceania;French Polynesia;Rugby XV;NA;NA
Women;Oceania;Fiji;Rugby XV;NA;NA
Women;Oceania;Solomon Island;Rugby XV;NA;NA
Women;Oceania;Northern Mariana Islands;Rugby XV;NA;NA
Women;Oceania;Vanuatu;Rugby XV;NA;NA
Women;Africa;Nigeria;Rugby XIII;NA;NA
Women;Africa;Egypt;Rugby XIII;NA;NA
Women;Africa;South Africa;Rugby XIII;NA;NA
Women;Africa;Algeria;Rugby XIII;NA;NA
Women;Africa;Morocco;Rugby XIII;NA;NA
Women;Africa;Angola;Rugby XIII;NA;NA
Women;Africa;Kenya;Rugby XIII;NA;NA
Women;Africa;Ethiopia;Rugby XIII;NA;NA
Women;Africa;Tanzania, United Republic of;Rugby XIII;NA;NA
Women;Africa;Ghana;Rugby XIII;NA;NA
Women;Americas;United States;Rugby XIII;NA;NA
Women;Americas;Canada;Rugby XIII;NA;NA
Women;Americas;Brazil;Rugby XIII;NA;NA
Women;Americas;Mexico;Rugby XIII;NA;NA
Women;Americas;Argentina;Rugby XIII;NA;NA
Women;Americas;Colombia;Rugby XIII;NA;NA
Women;Americas;Chile;Rugby XIII;NA;NA
Women;Americas;Peru;Rugby XIII;NA;NA
Women;Americas;Puerto Rico;Rugby XIII;NA;NA
Women;Americas;Ecuador;Rugby XIII;NA;NA
Women;Asia;China;Rugby XIII;NA;NA
Women;Asia;Japan;Rugby XIII;NA;NA
Women;Asia;India;Rugby XIII;NA;NA
Women;Asia;Iran, Islamic Republic of;Rugby XIII;NA;NA
Women;Asia;Korea, Republic of;Rugby XIII;NA;NA
Women;Asia;Indonesia;Rugby XIII;NA;NA
Women;Asia;Saudi Arabia;Rugby XIII;NA;NA
Women;Asia;Turkey;Rugby XIII;NA;NA
Women;Asia;Thailand;Rugby XIII;NA;NA
Women;Asia;Israel;Rugby XIII;NA;NA
Women;Europe;Germany;Rugby XIII;;
Women;Europe;United Kingdom;Rugby XIII;NA;NA
Women;Europe;France;Rugby XIII;NA;NA
Women;Europe;Russian Federation;Rugby XIII;NA;NA
Women;Europe;Italy;Rugby XIII;NA;NA
Women;Europe;Spain;Rugby XIII;NA;NA
Women;Europe;Netherlands;Rugby XIII;NA;NA
Women;Europe;Switzerland;Rugby XIII;NA;NA
Women;Europe;Poland;Rugby XIII;NA;NA
Women;Europe;Sweden;Rugby XIII;NA;NA
Women;Oceania;Australia;Rugby XIII;6;3
Women;Oceania;New Zealand;Rugby XIII;NA;NA
Women;Oceania;Papua New Guinea;Rugby XIII;NA;NA
Women;Oceania;New Caledonia;Rugby XIII;NA;NA
Women;Oceania;Guam;Rugby XIII;NA;NA
Women;Oceania;French Polynesia;Rugby XIII;NA;NA
Women;Oceania;Fiji;Rugby XIII;NA;NA
Women;Oceania;Solomon Island;Rugby XIII;NA;NA
Women;Oceania;Northern Mariana Islands;Rugby XIII;NA;NA
Women;Oceania;Vanuatu;Rugby XIII;NA;NA
Women;Africa;Nigeria;Handball;NA;NA
Women;Africa;Egypt;Handball;NA;NA
Women;Africa;South Africa;Handball;NA;NA
Women;Africa;Algeria;Handball;NA;NA
Women;Africa;Morocco;Handball;NA;NA
Women;Africa;Angola;Handball;NA;NA
Women;Africa;Kenya;Handball;NA;NA
Women;Africa;Ethiopia;Handball;NA;NA
Women;Africa;Tanzania, United Republic of;Handball;NA;NA
Women;Africa;Ghana;Handball;NA;NA
Women;Americas;United States;Handball;NA;NA
Women;Americas;Canada;Handball;NA;NA
Women;Americas;Brazil;Handball;NA;NA
Women;Americas;Mexico;Handball;NA;NA
Women;Americas;Argentina;Handball;NA;NA
Women;Americas;Colombia;Handball;NA;NA
Women;Americas;Chile;Handball;NA;NA
Women;Americas;Peru;Handball;NA;NA
Women;Americas;Puerto Rico;Handball;NA;NA
Women;Americas;Ecuador;Handball;NA;NA
Women;Asia;China;Handball;NA;NA
Women;Asia;Japan;Handball;NA;NA
Women;Asia;India;Handball;NA;NA
Women;Asia;Iran, Islamic Republic of;Handball;NA;NA
Women;Asia;Korea, Republic of;Handball;NA;NA
Women;Asia;Indonesia;Handball;NA;NA
Women;Asia;Saudi Arabia;Handball;NA;NA
Women;Asia;Turkey;Handball;NA;NA
Women;Asia;Thailand;Handball;NA;NA
Women;Asia;Israel;Handball;NA;NA
Women;Europe;Germany;Handball;14;2
Women;Europe;United Kingdom;Handball;NA;NA
Women;Europe;France;Handball;14;5
Women;Europe;Russian Federation;Handball;11;2
Women;Europe;Italy;Handball;12;1
Women;Europe;Spain;Handball;12;2
Women;Europe;Netherlands;Handball;NA;NA
Women;Europe;Switzerland;Handball;8;1
Women;Europe;Poland;Handball;8;0
Women;Europe;Sweden;Handball;NA;NA
Women;Oceania;Australia;Handball;NA;NA
Women;Oceania;New Zealand;Handball;NA;NA
Women;Oceania;Papua New Guinea;Handball;NA;NA
Women;Oceania;New Caledonia;Handball;NA;NA
Women;Oceania;Guam;Handball;NA;NA
Women;Oceania;French Polynesia;Handball;NA;NA
Women;Oceania;Fiji;Handball;NA;NA
Women;Oceania;Solomon Island;Handball;NA;NA
Women;Oceania;Northern Mariana Islands;Handball;NA;NA
Women;Oceania;Vanuatu;Handball;NA;NA
Women;Africa;Nigeria;Ice Hockey;NA;NA
Women;Africa;Egypt;Ice Hockey;NA;NA
Women;Africa;South Africa;Ice Hockey;NA;NA
Women;Africa;Algeria;Ice Hockey;NA;NA
Women;Africa;Morocco;Ice Hockey;NA;NA
Women;Africa;Angola;Ice Hockey;NA;NA
Women;Africa;Kenya;Ice Hockey;NA;NA
Women;Africa;Ethiopia;Ice Hockey;NA;NA
Women;Africa;Tanzania, United Republic of;Ice Hockey;NA;NA
Women;Africa;Ghana;Ice Hockey;NA;NA
Women;Americas;United States;Ice Hockey;5;3
Women;Americas;Canada;Ice Hockey;2;0
Women;Americas;Brazil;Ice Hockey;NA;NA
Women;Americas;Mexico;Ice Hockey;NA;NA
Women;Americas;Argentina;Ice Hockey;NA;NA
Women;Americas;Colombia;Ice Hockey;NA;NA
Women;Americas;Chile;Ice Hockey;NA;NA
Women;Americas;Peru;Ice Hockey;NA;NA
Women;Americas;Puerto Rico;Ice Hockey;NA;NA
Women;Americas;Ecuador;Ice Hockey;NA;NA
Women;Asia;China;Ice Hockey;1;0
Women;Asia;Japan;Ice Hockey;NA;NA
Women;Asia;India;Ice Hockey;NA;NA
Women;Asia;Iran, Islamic Republic of;Ice Hockey;NA;NA
Women;Asia;Korea, Republic of;Ice Hockey;NA;NA
Women;Asia;Indonesia;Ice Hockey;NA;NA
Women;Asia;Saudi Arabia;Ice Hockey;NA;NA
Women;Asia;Turkey;Ice Hockey;NA;NA
Women;Asia;Thailand;Ice Hockey;NA;NA
Women;Asia;Israel;Ice Hockey;NA;NA
Women;Europe;Germany;Ice Hockey;NA;NA
Women;Europe;United Kingdom;Ice Hockey;NA;NA
Women;Europe;France;Ice Hockey;NA;NA
Women;Europe;Russian Federation;Ice Hockey;8;3
Women;Europe;Italy;Ice Hockey;NA;NA
Women;Europe;Spain;Ice Hockey;NA;NA
Women;Europe;Netherlands;Ice Hockey;NA;NA
Women;Europe;Switzerland;Ice Hockey;NA;NA
Women;Europe;Poland;Ice Hockey;NA;NA
Women;Europe;Sweden;Ice Hockey;10;2
Women;Oceania;Australia;Ice Hockey;NA;NA
Women;Oceania;New Zealand;Ice Hockey;NA;NA
Women;Oceania;Papua New Guinea;Ice Hockey;NA;NA
Women;Oceania;New Caledonia;Ice Hockey;NA;NA
Women;Oceania;Guam;Ice Hockey;NA;NA
Women;Oceania;French Polynesia;Ice Hockey;NA;NA
Women;Oceania;Fiji;Ice Hockey;NA;NA
Women;Oceania;Solomon Island;Ice Hockey;NA;NA
Women;Oceania;Northern Mariana Islands;Ice Hockey;NA;NA
Women;Oceania;Vanuatu;Ice Hockey;NA;NA